epoch,train_loss,val_loss,lai_train,lai_val,yield_train,yield_val,state_loss,canopy_loss,anom_loss,HI,yield_scale,yield_year_trend,RUE,k_ext,D0,GDD_flowering,GDD_maturity,FC,WP,epoch_seconds,gpu_peak_gb
1,1.172672708829244,0.5945738554000854,0.4037964542706807,0.3761439323425293,0.29559452335039776,0.23365721106529236,0.5895185073216757,0.12721441065271696,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.8012824058532715,0.8543148040771484,1.8989074230194092,849.9984130859375,1673.45361328125,0.3955080509185791,0.18409304320812225,9.044295877218246,0.05735301971435547
2,0.7844103574752808,0.5945738554000854,0.4097306529680888,0.3761439323425293,0.21287058045466742,0.23365721106529236,0.33181487520535785,0.03454482555389404,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7932868003845215,0.8503007292747498,1.8995440006256104,849.9984130859375,1673.4537353515625,0.39037269353866577,0.1841750591993332,8.183094057254493,0.057385921478271484
3,0.6839512387911478,0.5945738554000854,0.43913593888282776,0.3761439323425293,0.11085963994264603,0.23365721106529236,0.11300456399718921,0.01995460658023755,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7864184379577637,0.8464112281799316,1.9003781080245972,849.9984130859375,1673.454345703125,0.3995586335659027,0.1861249804496765,7.910581204108894,0.057358741760253906
4,0.6879749894142151,0.5945738554000854,0.44173285365104675,0.3761439323425293,0.10323406259218852,0.23365721106529236,0.1117268701394399,0.020224311699469883,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.781052589416504,0.8450202345848083,1.9014008045196533,849.9984130859375,1673.455078125,0.39676231145858765,0.18514642119407654,7.946551150642335,0.057358741760253906
5,0.6626218954722086,0.5866187214851379,0.43535056710243225,0.4126611649990082,0.1196316530307134,0.08836540579795837,0.09920457657426596,0.01694979580740134,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.774958610534668,0.8417678475379944,1.9023759365081787,849.9984130859375,1673.455810546875,0.3955080509185791,0.18409304320812225,8.86992861982435,0.057358741760253906
6,0.6695576906204224,0.5866187214851379,0.4198560019334157,0.4126611649990082,0.16959117849667868,0.08836540579795837,0.18487531691789627,0.011976741254329681,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7694733142852783,0.8396546840667725,1.9033634662628174,849.9984130859375,1673.45654296875,0.39680489897727966,0.18539676070213318,8.001709102652967,0.057773590087890625
7,0.6626729567845663,0.5866187214851379,0.4050269325574239,0.4126611649990082,0.21833449602127075,0.08836540579795837,0.2337929606437683,0.008194367866963148,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7624802589416504,0.8350427746772766,1.9040666818618774,849.9984130859375,1673.45703125,0.3976748287677765,0.18595407903194427,7.895656972192228,0.057358741760253906
8,0.6477715969085693,0.5866187214851379,0.42168887456258136,0.4126611649990082,0.16356110572814941,0.08836540579795837,0.13908394674460092,0.01162269338965416,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7547216415405273,0.8293448686599731,1.9046924114227295,849.9984130859375,1673.4573974609375,0.39454197883605957,0.18480251729488373,8.076473793014884,0.057358741760253906
9,0.6462397774060568,0.5866187214851379,0.4268503785133362,0.4126611649990082,0.1383722871541977,0.08836540579795837,0.11126800378163655,0.01327778430034717,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7475812435150146,0.8247039318084717,1.905453085899353,849.9984130859375,1673.4581298828125,0.39462774991989136,0.1849169284105301,7.933382176794112,0.057358741760253906
10,0.6276764869689941,0.5459879636764526,0.42081669966379803,0.39464980363845825,0.1632512311140696,0.14541295170783997,0.10668923767904441,0.010741733014583588,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.740351915359497,0.8199220895767212,1.9062455892562866,849.9984130859375,1673.4588623046875,0.3955080509185791,0.18409304320812225,8.763556730002165,0.057358741760253906
11,0.6233865221341451,0.5459879636764526,0.41505545377731323,0.39464980363845825,0.17865783472855887,0.14541295170783997,0.12181269874175389,0.009327083049962917,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.732907772064209,0.8146873712539673,1.907023549079895,849.9984130859375,1673.4595947265625,0.39668864011764526,0.18516671657562256,8.051532385870814,0.057773590087890625
12,0.6169894337654114,0.5459879636764526,0.4073543945948283,0.39464980363845825,0.21371479829152426,0.14541295170783997,0.139609028895696,0.00765471284588178,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7247815132141113,0.8085691928863525,1.90775465965271,849.9984130859375,1673.4603271484375,0.393400102853775,0.18355821073055267,7.937927122227848,0.057358741760253906
13,0.6154821713765463,0.5459879636764526,0.409886767466863,0.39464980363845825,0.2000440408786138,0.14541295170783997,0.12466892848412196,0.00846916064620018,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.715954303741455,0.8014311790466309,1.9084590673446655,849.9984130859375,1673.4610595703125,0.39570173621177673,0.18563000857830048,8.04185010958463,0.057358741760253906
14,0.6032947699228922,0.5459879636764526,0.4119425018628438,0.39464980363845825,0.18598141272862753,0.14541295170783997,0.093697855869929,0.008627778695275387,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.7073957920074463,0.7947120666503906,1.9092100858688354,849.9984130859375,1673.4617919921875,0.3956422805786133,0.1841648668050766,7.965907348319888,0.057358741760253906
15,0.5914501150449117,0.49326005578041077,0.4005575974782308,0.36452344059944153,0.21700351933638254,0.2530956268310547,0.11109474052985509,0.006792731893559297,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.699366807937622,0.7884355187416077,1.909919261932373,849.9984130859375,1673.462646484375,0.3955080509185791,0.18409304320812225,8.703164299950004,0.057358741760253906
16,0.5858742396036783,0.49326005578041077,0.3845868209997813,0.36452344059944153,0.28405870993932086,0.2530956268310547,0.1532759169737498,0.004772643093019724,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.6911842823028564,0.7815913558006287,1.9104993343353271,849.9984130859375,1673.46337890625,0.3978903591632843,0.18553034961223602,7.927335665561259,0.057773590087890625
17,0.5785199006398519,0.49326005578041077,0.3772672911485036,0.36452344059944153,0.3008553187052409,0.2530956268310547,0.16054829955101013,0.004166619929795464,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.682227611541748,0.7737520337104797,1.9109865427017212,849.9984130859375,1673.464111328125,0.39735734462738037,0.1864435076713562,8.033660713583231,0.057358741760253906
18,0.5760446985562643,0.49326005578041077,0.3793727556864421,0.36452344059944153,0.2907075484593709,0.2530956268310547,0.14808463056882223,0.00457414115468661,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.672562599182129,0.7647960782051086,1.9113490581512451,849.9984130859375,1673.46484375,0.39344334602355957,0.18486708402633667,7.970767270773649,0.057358741760253906
19,0.5748127897580465,0.49326005578041077,0.3975235919157664,0.36452344059944153,0.20653356611728668,0.2530956268310547,0.08350097869212429,0.007167272424946229,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.663738489151001,0.7567965388298035,1.9117722511291504,849.9984130859375,1673.4656982421875,0.39298388361930847,0.1831413358449936,8.056209816597402,0.057358741760253906
20,0.5667189955711365,0.4590195417404175,0.38811338941256207,0.34078583121299744,0.23643184204896292,0.31919682025909424,0.09849084417025249,0.005958634971951445,0.0,0.5600000619888306,1.149999976158142,0.034999992698431015,2.6559715270996094,0.7502226233482361,1.9124089479446411,849.9984130859375,1673.466796875,0.3955080509185791,0.18409304320812225,8.722810756415129,0.057358741760253906
21,0.6239940722783407,0.4590195417404175,0.3461120128631592,0.34078583121299744,0.39784154295921326,0.31919682025909424,0.2326661522189776,0.002548903382072846,0.0016727269006272156,0.557978630065918,1.1389665603637695,0.03824133425951004,2.647341251373291,0.7420035004615784,1.9126172065734863,849.9999389648438,1673.467529296875,0.4017733633518219,0.18691128492355347,7.921823256649077,0.07915830612182617
22,0.6366843779881796,0.4590195417404175,0.34440986315409344,0.34078583121299744,0.3579294681549072,0.31919682025909424,0.17720125118891397,0.002575492641578118,0.001949002578233679,0.5559657216072083,1.1281734704971313,0.041349172592163086,2.639667272567749,0.7340679168701172,1.9120529890060425,850.0020751953125,1673.4677734375,0.39487794041633606,0.18430183827877045,8.119379153475165,0.07906484603881836
23,0.6158761978149414,0.4590195417404175,0.39952688415845233,0.34078583121299744,0.12483367323875427,0.31919682025909424,0.0437276978045702,0.009799774425725142,0.002287305270632108,0.5539041757583618,1.117342472076416,0.044414252042770386,2.632601022720337,0.7263506650924683,1.911391258239746,850.0044555664062,1673.4678955078125,0.39021697640419006,0.1827952116727829,7.917953214608133,0.07906484603881836
24,0.6397079825401306,0.4590195417404175,0.4261936942736308,0.34078583121299744,0.0539034033815066,0.31919682025909424,0.011890636757016182,0.018251067648331325,0.002594634580115477,0.5520023107528687,1.1075687408447266,0.04706626385450363,2.627335548400879,0.7212038636207581,1.9112956523895264,850.0068359375,1673.468505859375,0.3931248188018799,0.1851702183485031,7.916921245865524,0.07906484603881836
25,0.6304858724276224,0.5858572125434875,0.41294535994529724,0.37147367000579834,0.06239970773458481,0.10791421681642532,0.02283062677209576,0.014808345586061478,0.0027699755349506936,0.5501830577850342,1.098422884941101,0.0494413897395134,2.6234192848205566,0.7180377244949341,1.9116623401641846,850.0091552734375,1673.4696044921875,0.3955080509185791,0.18409304320812225,8.858616795390844,0.07906484603881836
